fold,pmid,user_relevance,y_true,raw_priority_score,p_not_relevant,p_maybe,p_relevant,expected_label,predicted_label
1,41467422,Maybe,1,20.9232186268652,0.30046729808888667,0.6386920416236552,0.06084066028745805,0.7603733621985713,1
1,41489261,Maybe,1,33.837216462230145,0.14287302429653365,0.7140751766964393,0.14305179900702714,1.0001787747104935,1
4,41988659,Maybe,1,31.377880143637228,0.13943750816018974,0.7251932847203487,0.13536920711946154,0.9959316989592718,1
5,41990575,Relevant,2,66.24916368903331,0.02184863850675777,0.3706430986922566,0.6075082628009856,1.5856596242942278,2
1,42061603,Relevant,2,39.37410971650822,0.09997818842582844,0.6997078898993634,0.20031392167480822,1.1003357332489798,1
5,42066913,Maybe,1,42.67308280663244,0.07588165155815717,0.6278247316593955,0.29629361678244737,1.2204119652242902,1
5,42104610,Not Relevant,0,43.76056589270642,0.07177649048347373,0.6192579736169879,0.30896553589953835,1.2371890454160646,1
3,42105620,Maybe,1,44.10389850877502,0.07567293096358663,0.6219777677500135,0.3023493012863999,1.2266763703228132,1
2,42105790,Maybe,1,60.87467798103249,0.03775063907730671,0.46195422795859986,0.5002951329640934,1.4625444938867869,2
5,42134737,Maybe,1,34.734901745395014,0.11291330061470833,0.6734854586830534,0.21360124070223818,1.1006879400875298,1
4,42162843,Maybe,1,47.9319254273548,0.04213670975623927,0.5921103863791234,0.3657529038646373,1.3236161941083981,1
2,42167416,Maybe,1,38.37482320465256,0.11119848033816995,0.6498676542142261,0.23893386544760398,1.127735385109434,1
4,42176571,Not Relevant,0,51.08794887868823,0.033170608588935585,0.5417383978301072,0.42509099358095714,1.3919203849920216,1
4,42193955,Not Relevant,0,7.29907126667645,0.5191170611780975,0.4579228916323217,0.02296004718958078,0.5038429860114833,0
5,42212306,Relevant,2,82.15256554090315,0.00919639741819923,0.20245013203629592,0.7883534705455049,1.7791570731273056,2
4,42212533,Not Relevant,0,41.62006367352901,0.06744245783599806,0.6728732854481629,0.25968425671583895,1.1922417988798408,1
3,42218500,Relevant,2,61.05320726190262,0.02728352279770927,0.4142282994042969,0.5584881777979938,1.5312046550002845,2
4,42242294,Relevant,2,48.909354075246064,0.039136788000535314,0.5770743771701033,0.3837888348293613,1.344652046828826,1
2,42250782,Maybe,1,32.92864149328038,0.14211374946894226,0.6662242631361199,0.19166198739493778,1.0495482379259955,1
5,42257494,Relevant,2,54.68637091713969,0.04058077867327654,0.5096595886390956,0.44975963268762786,1.4091788540143513,1
1,42295784,Relevant,2,40.493552920434496,0.09283347964928398,0.6933852718814533,0.21378124846926272,1.1209477688199787,1
2,42296967,Maybe,1,40.28769345428861,0.10182103373525173,0.6408576725761275,0.2573212936886208,1.155500259953369,1
3,42327492,Maybe,1,34.412771292418256,0.13122342583505667,0.6785589083357743,0.1902176658291691,1.0589942399941124,1
